"filename", "language", "JSON", "JavaScript", "TypeScript", "CSS", "HTML", "Svelte", "Markdown", "XML", "comment", "blank", "total"
"c:\fellowclass\web\static\images\opera.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\fellowclass\web\static\images\portis.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\fellowclass\web\static\images\spinner.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\fellowclass\web\static\images\status.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\fellowclass\web\static\images\torus\apple.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\fellowclass\web\static\images\torus\discord.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\fellowclass\web\static\images\torus\facebook.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\fellowclass\web\static\images\torus\github.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"c:\fellowclass\web\static\images\torus\google.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\fellowclass\web\static\images\torus\jwt.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\fellowclass\web\static\images\torus\line.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"c:\fellowclass\web\static\images\torus\linkedin.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\fellowclass\web\static\images\torus\reddit.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\fellowclass\web\static\images\torus\twitch.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 18
"c:\fellowclass\web\static\images\torus\twitter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\fellowclass\web\static\images\walletconnect.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\fellowclass\web\svelte.config.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 4, 4, 20
"c:\fellowclass\web\tailwind.config.cjs", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\fellowclass\web\tsconfig.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 10, 1, 32
"Total", "-", 13659, 37, 699, 9, 12, 870, 24, 202, 106, 286, 15904
